DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,-0.005468,0.262465,0.999994,-0.003333,0.000000,0.003314,0.994289,-0.106666,0.000356,0.106665,0.994295
6.561667,6.561618,-0.021872,0.262453,0.999978,-0.006667,0.000000,0.006629,0.994273,-0.106661,0.000711,0.106659,0.994295
9.842500,9.842336,-0.049211,0.262420,0.999950,-0.010000,0.000000,0.009943,0.994247,-0.106648,0.001066,0.106642,0.994297
13.123333,13.122944,-0.087484,0.262356,0.999911,-0.013332,0.000000,0.013256,0.994211,-0.106622,0.001421,0.106613,0.994300
16.404167,16.403407,-0.136687,0.262252,0.999861,-0.016663,0.000000,0.016568,0.994166,-0.106580,0.001776,0.106565,0.994304
19.685000,19.683688,-0.196816,0.262096,0.999800,-0.019992,0.000000,0.019878,0.994112,-0.106517,0.002129,0.106495,0.994311
22.965833,22.963751,-0.267862,0.261880,0.999728,-0.023319,0.000000,0.023186,0.994050,-0.106429,0.002482,0.106400,0.994320
26.246667,26.243559,-0.349818,0.261594,0.999645,-0.026642,0.000000,0.026491,0.993980,-0.106313,0.002832,0.106275,0.994333
29.527500,29.523076,-0.442669,0.261228,0.999551,-0.029961,0.000000,0.029792,0.993902,-0.106165,0.003181,0.106117,0.994349
32.808333,32.802268,-0.546399,0.260773,0.999446,-0.033275,0.000000,0.033087,0.993818,-0.105981,0.003526,0.105922,0.994368
36.089167,36.081098,-0.660988,0.260222,0.999331,-0.036581,0.000000,0.036376,0.993726,-0.105758,0.003869,0.105687,0.994392
39.370000,39.359531,-0.786412,0.259566,0.999204,-0.039880,0.000000,0.039657,0.993629,-0.105492,0.004207,0.105408,0.994420
42.650833,42.637534,-0.922643,0.258797,0.999068,-0.043169,0.000000,0.042930,0.993526,-0.105181,0.004540,0.105083,0.994453
45.931667,45.915071,-1.069646,0.257908,0.998921,-0.046448,0.000000,0.046192,0.993418,-0.104821,0.004868,0.104708,0.994491
49.212500,49.192108,-1.227384,0.256892,0.998764,-0.049713,0.000000,0.049442,0.993305,-0.104409,0.005190,0.104280,0.994534
52.493333,52.468614,-1.395811,0.255742,0.998596,-0.052965,0.000000,0.052678,0.993187,-0.103944,0.005505,0.103798,0.994583
55.774167,55.744555,-1.574879,0.254453,0.998420,-0.056200,0.000000,0.055899,0.993066,-0.103422,0.005812,0.103258,0.994638
59.055000,59.019901,-1.764532,0.253020,0.998233,-0.059418,0.000000,0.059103,0.992940,-0.102841,0.006110,0.102660,0.994698
62.335833,62.294621,-1.964708,0.251437,0.998038,-0.062616,0.000000,0.062288,0.992812,-0.102200,0.006399,0.102000,0.994764
65.616667,65.568684,-2.175340,0.249702,0.997833,-0.065792,0.000000,0.065452,0.992680,-0.101497,0.006677,0.101277,0.994836
68.897500,68.842064,-2.396353,0.247809,0.997620,-0.068945,0.000000,0.068594,0.992546,-0.100731,0.006944,0.100491,0.994914
72.178333,72.114731,-2.627666,0.245757,0.997399,-0.072072,0.000000,0.071711,0.992410,-0.099899,0.007199,0.099640,0.994998
75.459167,75.386661,-2.869192,0.243543,0.997171,-0.075171,0.000000,0.074802,0.992272,-0.099002,0.007441,0.098722,0.995087
78.740000,78.657828,-3.120836,0.241165,0.996934,-0.078241,0.000000,0.077864,0.992132,-0.098039,0.007670,0.097738,0.995183
82.020833,81.928209,-3.382498,0.238623,0.996691,-0.081278,0.000000,0.080895,0.991991,-0.097009,0.007884,0.096688,0.995284
85.301667,85.197782,-3.654068,0.235916,0.996442,-0.084282,0.000000,0.083893,0.991848,-0.095911,0.008083,0.095570,0.995390
88.582500,88.466527,-3.935433,0.233044,0.996186,-0.087250,0.000000,0.086857,0.991705,-0.094748,0.008266,0.094386,0.995501
91.863333,91.734425,-4.226470,0.230009,0.995926,-0.090179,0.000000,0.089784,0.991561,-0.093517,0.008432,0.093136,0.995618
95.144167,95.001459,-4.527052,0.226812,0.995660,-0.093068,0.000000,0.092672,0.991417,-0.092221,0.008582,0.091821,0.995739
98.425000,98.267613,-4.837042,0.223455,0.995389,-0.095915,0.000000,0.095519,0.991272,-0.090860,0.008714,0.090441,0.995864
101.705833,101.532875,-5.156300,0.219941,0.995115,-0.098718,0.000000,0.098323,0.991128,-0.089435,0.008828,0.088998,0.995993
104.986667,104.797233,-5.484677,0.216275,0.994838,-0.101475,0.000000,0.101082,0.990983,-0.087948,0.008924,0.087494,0.996125
108.267500,108.060676,-5.822018,0.212459,0.994558,-0.104184,0.000000,0.103794,0.990839,-0.086400,0.009000,0.085930,0.996261
111.548333,111.323197,-6.168162,0.208498,0.994276,-0.106842,0.000000,0.106457,0.990695,-0.084793,0.009058,0.084308,0.996399
114.829167,114.584790,-6.522944,0.204398,0.993992,-0.109449,0.000000,0.109071,0.990552,-0.083130,0.009097,0.082631,0.996539
118.110000,117.845452,-6.886191,0.200165,0.993708,-0.112003,0.000000,0.111631,0.990409,-0.081412,0.009117,0.080900,0.996681
121.390833,121.105179,-7.257726,0.195805,0.993423,-0.114502,0.000000,0.114138,0.990267,-0.079643,0.009118,0.079119,0.996823
124.671667,124.363973,-7.637364,0.191325,0.993139,-0.116944,0.000000,0.116589,0.990126,-0.077824,0.009100,0.077290,0.996967
127.952500,127.621835,-8.024920,0.186732,0.992855,-0.119328,0.000000,0.118984,0.989986,-0.075959,0.009063,0.075417,0.997111
131.233333,130.878768,-8.420200,0.182033,0.992573,-0.121653,0.000000,0.121319,0.989847,-0.074052,0.009008,0.073502,0.997254
134.514167,134.134779,-8.823008,0.177238,0.992292,-0.123918,0.000000,0.123595,0.989710,-0.072104,0.008934,0.071549,0.997397
137.795000,137.389875,-9.233144,0.172355,0.992015,-0.126121,0.000000,0.125810,0.989573,-0.070121,0.008843,0.069561,0.997538
141.075833,140.644066,-9.650404,0.167392,0.991740,-0.128261,0.000000,0.127963,0.989438,-0.068105,0.008734,0.067543,0.997678
144.356667,143.897363,-10.074581,0.162359,0.991470,-0.130337,0.000000,0.130053,0.989304,-0.066060,0.008609,0.065497,0.997816
147.637500,147.149777,-10.505465,0.157265,0.991203,-0.132350,0.000000,0.132079,0.989172,-0.063991,0.008468,0.063428,0.997950
150.918333,150.401325,-10.942843,0.152120,0.990941,-0.134297,0.000000,0.134039,0.989041,-0.061900,0.008312,0.061340,0.998082
154.199167,153.652022,-11.386503,0.146935,0.990684,-0.136179,0.000000,0.135935,0.988912,-0.059793,0.008142,0.059236,0.998211
157.480000,156.901886,-11.836227,0.141718,0.990433,-0.137994,0.000000,0.137765,0.988784,-0.057672,0.007958,0.057121,0.998336
160.760833,160.150934,-12.291800,0.136481,0.990188,-0.139744,0.000000,0.139528,0.988659,-0.055543,0.007761,0.054998,0.998456
164.041667,163.399189,-12.753004,0.131233,0.989949,-0.141427,0.000000,0.141225,0.988536,-0.053410,0.007553,0.052873,0.998573
167.322500,166.646670,-13.219621,0.125986,0.989716,-0.143044,0.000000,0.142856,0.988414,-0.051276,0.007334,0.050749,0.998685
170.603333,169.893400,-13.691434,0.120748,0.989491,-0.144594,0.000000,0.144420,0.988295,-0.049146,0.007105,0.048630,0.998792
173.884167,173.139403,-14.168225,0.115532,0.989273,-0.146079,0.000000,0.145917,0.988179,-0.047024,0.006869,0.046520,0.998894
177.165000,176.384703,-14.649778,0.110346,0.989062,-0.147497,0.000000,0.147348,0.988064,-0.044915,0.006624,0.044424,0.998991
180.445833,179.629325,-15.135879,0.105201,0.988860,-0.148851,0.000000,0.148714,0.987953,-0.042822,0.006373,0.042345,0.999083
