dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
1.000000,0.000001,1.000000,0.000000,0.000001,1.000000
2.000000,0.000004,1.000000,0.000000,0.000006,1.000000
3.000000,0.000014,1.000000,0.000000,0.000019,1.000000
4.000000,0.000034,1.000000,0.000000,0.000045,1.000000
5.000000,0.000065,1.000000,0.000000,0.000087,1.000000
6.000000,0.000113,1.000000,0.000001,0.000151,1.000000
7.000000,0.000179,1.000000,0.000001,0.000239,1.000000
8.000000,0.000266,1.000000,0.000001,0.000356,1.000000
9.000000,0.000378,1.000000,0.000001,0.000504,1.000000
10.000000,0.000516,1.000000,0.000002,0.000689,1.000000
11.000000,0.000684,1.000000,0.000002,0.000914,1.000000
12.000000,0.000884,1.000000,0.000002,0.001181,0.999999
13.000000,0.001118,1.000000,0.000003,0.001494,0.999999
14.000000,0.001390,1.000000,0.000003,0.001856,0.999998
15.000000,0.001699,1.000000,0.000003,0.002270,0.999997
16.000000,0.002050,1.000000,0.000004,0.002738,0.999996
17.000000,0.002443,1.000000,0.000004,0.003263,0.999995
18.000000,0.002879,1.000000,0.000005,0.003846,0.999993
19.000000,0.003362,1.000000,0.000005,0.004491,0.999990
20.000000,0.003891,1.000000,0.000006,0.005198,0.999986
21.000000,0.004468,1.000000,0.000006,0.005968,0.999982
22.000000,0.005093,1.000000,0.000007,0.006804,0.999977
23.000000,0.005768,1.000000,0.000007,0.007705,0.999970
24.000000,0.006493,1.000000,0.000007,0.008673,0.999962
25.000000,0.007268,1.000000,0.000008,0.009708,0.999953
26.000000,0.008093,1.000000,0.000009,0.010811,0.999942
27.000000,0.008968,1.000000,0.000009,0.011980,0.999928
28.000000,0.009893,1.000000,0.000009,0.013216,0.999913
29.000000,0.010868,1.000000,0.000010,0.014517,0.999895
30.000000,0.011891,1.000000,0.000010,0.015884,0.999874
31.000000,0.012962,1.000000,0.000011,0.017314,0.999850
32.000000,0.014079,1.000000,0.000011,0.018807,0.999823
33.000000,0.015243,1.000000,0.000012,0.020361,0.999793
34.000000,0.016450,1.000000,0.000012,0.021973,0.999759
35.000000,0.017699,1.000000,0.000013,0.023642,0.999720
36.000000,0.018990,1.000000,0.000013,0.025365,0.999678
37.000000,0.020318,1.000000,0.000013,0.027140,0.999632
38.000000,0.021684,1.000000,0.000014,0.028963,0.999580
39.000000,0.023084,1.000000,0.000014,0.030833,0.999525
40.000000,0.024516,1.000000,0.000014,0.032745,0.999464
41.000000,0.025978,1.000000,0.000015,0.034696,0.999398
42.000000,0.027466,1.000000,0.000015,0.036683,0.999327
43.000000,0.028979,1.000000,0.000015,0.038702,0.999251
44.000000,0.030513,1.000000,0.000015,0.040750,0.999169
45.000000,0.032065,1.000000,0.000016,0.042822,0.999083
46.000000,0.033634,1.000000,0.000016,0.044915,0.998991
47.000000,0.035214,1.000000,0.000016,0.047024,0.998894
48.000000,0.036804,1.000000,0.000016,0.049146,0.998792
49.000000,0.038401,1.000000,0.000016,0.051276,0.998685
50.000000,0.040000,1.000000,0.000016,0.053410,0.998573
51.000000,0.041599,1.000000,0.000016,0.055543,0.998456
52.000000,0.043196,1.000000,0.000016,0.057672,0.998336
53.000000,0.044786,1.000000,0.000016,0.059793,0.998211
54.000000,0.046366,1.000000,0.000016,0.061900,0.998082
55.000000,0.047935,1.000000,0.000016,0.063991,0.997950
56.000000,0.049487,1.000000,0.000015,0.066060,0.997816
57.000000,0.051021,1.000000,0.000015,0.068105,0.997678
58.000000,0.052534,1.000000,0.000015,0.070121,0.997538
59.000000,0.054022,1.000000,0.000015,0.072104,0.997397
60.000000,0.055484,1.000000,0.000014,0.074052,0.997254
61.000000,0.056916,1.000000,0.000014,0.075959,0.997111
62.000000,0.058316,1.000000,0.000014,0.077824,0.996967
63.000000,0.059682,1.000000,0.000013,0.079643,0.996823
64.000000,0.061010,1.000000,0.000013,0.081412,0.996681
65.000000,0.062301,1.000000,0.000013,0.083130,0.996539
66.000000,0.063550,1.000000,0.000012,0.084793,0.996399
67.000000,0.064757,1.000000,0.000012,0.086400,0.996261
68.000000,0.065921,1.000000,0.000011,0.087948,0.996125
69.000000,0.067038,1.000000,0.000011,0.089435,0.995993
70.000000,0.068109,1.000000,0.000010,0.090860,0.995864
71.000000,0.069132,1.000000,0.000010,0.092221,0.995739
72.000000,0.070107,1.000000,0.000009,0.093517,0.995618
73.000000,0.071032,1.000000,0.000009,0.094748,0.995501
74.000000,0.071907,1.000000,0.000009,0.095911,0.995390
75.000000,0.072732,1.000000,0.000008,0.097009,0.995284
76.000000,0.073507,1.000000,0.000007,0.098039,0.995183
77.000000,0.074232,1.000000,0.000007,0.099002,0.995087
78.000000,0.074907,1.000000,0.000007,0.099899,0.994998
79.000000,0.075532,1.000000,0.000006,0.100731,0.994914
80.000000,0.076109,1.000000,0.000006,0.101497,0.994836
81.000000,0.076638,1.000000,0.000005,0.102200,0.994764
82.000000,0.077121,1.000000,0.000005,0.102841,0.994698
83.000000,0.077557,1.000000,0.000004,0.103422,0.994638
84.000000,0.077950,1.000000,0.000004,0.103944,0.994583
85.000000,0.078301,1.000000,0.000003,0.104409,0.994534
86.000000,0.078610,1.000000,0.000003,0.104821,0.994491
87.000000,0.078882,1.000000,0.000003,0.105181,0.994453
88.000000,0.079116,1.000000,0.000002,0.105492,0.994420
89.000000,0.079316,1.000000,0.000002,0.105758,0.994392
90.000000,0.079484,1.000000,0.000002,0.105981,0.994368
91.000000,0.079622,1.000000,0.000001,0.106165,0.994349
92.000000,0.079734,1.000000,0.000001,0.106313,0.994333
93.000000,0.079821,1.000000,0.000001,0.106429,0.994320
94.000000,0.079887,1.000000,0.000001,0.106517,0.994311
95.000000,0.079935,1.000000,0.000000,0.106580,0.994304
96.000000,0.079966,1.000000,0.000000,0.106622,0.994300
97.000000,0.079986,1.000000,0.000000,0.106648,0.994297
98.000000,0.079996,1.000000,0.000000,0.106661,0.994295
99.000000,0.079999,1.000000,0.000000,0.106666,0.994295
100.000000,0.080000,1.000000,-0.000000,0.106667,0.994295
